synthetic_traffic_datas-2
"North_Flow,South_Flow,East_Flow,West_Flow,Pedestrian_Flow,Weather,Queue_Length_North,Queue_Length_South,Queue_Length_East,Queue_Length_West,Emergency_Priority_North,Emergency_Priority_South,Emergency_Priority_East,Emergency_Priority_West"
"﻿67,89,23,15,34,0,15,16,12,20,0,1,1,1"
"110,128,48,126,44,2,14,14,6,3,0,1,0,1"
"107,143,102,95,30,1,2,0,11,20,0,0,0,0"
"82,45,72,18,45,1,4,10,5,14,0,0,1,1"
"100,83,88,122,30,2,2,11,7,0,0,0,1,0"
"122,16,47,111,30,0,19,5,20,14,1,0,1,0"
"84,13,114,134,38,1,2,9,10,2,1,0,1,0"
"118,85,80,11,24,2,6,14,20,19,1,1,0,0"
"102,90,26,43,13,2,2,10,16,2,1,1,1,0"
"45,38,62,115,28,0,0,4,9,10,1,1,1,1"
"49,102,33,77,35,1,11,4,11,17,1,0,1,0"
"53,130,50,75,34,2,20,8,20,5,0,1,1,1"
"26,97,5,121,40,1,18,7,8,2,1,0,1,1"
"78,26,103,34,34,2,20,3,20,10,1,1,0,0"
"62,32,143,89,0,2,2,13,3,11,0,0,0,0"
"49,68,21,118,29,1,15,5,6,4,1,0,1,1"
"71,149,63,97,42,2,15,10,9,15,1,0,0,1"
"144,102,27,62,38,2,3,1,11,10,0,1,1,0"
"132,1,124,146,9,1,4,9,11,7,1,0,1,1"
"108,113,149,80,24,1,7,0,6,3,0,0,0,1"
"115,132,37,66,28,1,18,4,11,0,0,0,1,0"
"31,117,77,136,7,1,10,2,12,9,1,0,0,1"
"135,54,15,135,9,0,12,13,4,9,1,1,1,1"
"49,43,2,97,31,0,16,0,3,12,0,0,0,0"
"49,70,77,99,35,2,5,6,3,9,1,1,0,1"
"3,85,84,146,46,0,8,6,16,19,1,1,0,1"
"54,146,98,150,35,2,7,14,1,16,0,1,1,0"
"7,45,23,7,46,1,16,5,4,2,1,0,0,0"
"59,105,29,127,17,0,16,7,16,1,1,0,1,1"
"70,33,42,24,47,0,5,5,6,0,1,1,0,0"
"117,141,41,9,5,0,7,20,6,10,1,0,0,1"
"58,83,142,108,26,0,17,15,2,17,0,0,0,0"
"50,48,110,4,41,0,1,18,14,14,1,1,0,1"
"104,11,40,111,16,2,15,16,12,14,0,1,1,1"
"111,133,5,89,48,1,4,3,2,12,1,0,1,1"
"108,8,140,86,18,2,18,17,14,5,1,1,1,0"
"91,146,119,112,0,0,8,7,10,7,0,1,0,0"
"130,34,41,38,31,0,6,4,0,13,0,0,1,0"
"49,67,141,39,32,1,10,7,1,15,0,1,0,0"
"84,144,149,80,41,1,15,10,2,5,0,0,0,0"
"51,84,10,2,44,1,12,20,14,14,1,0,0,0"
"36,47,20,46,45,1,17,2,17,7,0,0,1,0"
"37,37,122,114,41,2,5,19,15,1,0,1,1,1"
"85,95,145,124,49,0,17,12,9,15,1,0,1,0"
"16,10,41,79,5,1,0,20,3,15,1,1,1,1"
"103,33,142,37,33,1,7,19,18,17,1,1,1,1"
"28,61,93,17,39,2,3,16,9,8,1,1,0,0"
"29,149,6,118,16,0,1,7,0,8,0,0,1,0"
"40,129,45,64,23,2,2,7,15,19,0,0,0,1"
"92,66,1,119,4,2,7,1,10,2,1,1,0,1"
"﻿121,20,101,25,29,2,6,14,8,19,0,1,0,1"
"142,140,99,67,19,2,17,4,20,5,0,0,0,0"
"107,18,127,18,29,2,6,11,10,10,1,1,0,0"
"78,63,83,40,46,0,15,19,17,4,0,1,0,0"
"140,140,44,11,14,0,0,0,1,5,0,0,1,0"
"55,32,102,12,29,0,15,4,15,8,1,1,1,1"
"38,110,61,121,3,1,8,17,6,11,0,0,1,1"
"73,134,80,15,22,2,0,0,5,8,0,1,0,1"
"140,14,78,57,20,2,6,15,19,15,1,0,0,1"
"18,1,143,141,5,2,2,3,7,0,0,0,0,1"
"70,147,76,83,18,1,9,11,12,19,0,1,1,1"
"119,123,55,20,47,2,0,9,5,19,0,1,0,0"
"75,131,54,59,15,1,13,11,3,5,1,0,0,1"
"64,101,106,12,3,2,4,5,17,17,0,0,0,0"
"4,101,85,115,26,2,18,4,16,9,1,1,1,1"
"59,144,12,6,17,0,5,7,12,20,0,0,1,0"
"37,110,80,147,20,2,6,19,14,6,0,1,0,1"
"140,44,146,11,29,0,6,7,9,17,1,1,0,1"
"27,17,13,24,16,2,5,20,7,1,1,1,1,1"
"93,98,91,90,36,0,6,12,11,11,1,0,0,0"
"34,135,25,126,4,1,13,7,19,11,1,1,0,1"
"28,14,123,43,33,0,14,18,9,16,1,1,1,0"
"69,35,11,50,29,1,15,15,4,9,1,1,0,0"
"77,81,0,60,32,1,11,7,7,20,1,0,1,1"
"98,78,36,93,18,2,11,0,19,6,1,0,0,1"
"1,94,44,10,21,0,0,12,3,13,0,0,0,1"
"9,7,119,59,32,1,6,18,6,20,1,0,0,1"
"75,111,3,46,16,1,4,16,7,1,0,0,0,1"
"7,134,125,124,23,0,0,13,9,18,1,0,0,0"
"58,119,141,146,47,2,15,20,6,2,1,0,0,0"
"56,59,48,91,17,0,5,3,14,6,1,0,0,1"
"107,25,90,100,16,2,7,13,8,14,0,1,0,0"
"96,48,46,75,13,0,4,2,6,7,0,1,0,1"
"48,88,100,42,13,1,12,18,20,17,1,0,1,1"
"28,18,14,53,4,1,5,15,8,15,0,1,1,0"
"3,76,123,90,18,0,8,7,10,3,1,0,1,1"
"29,96,38,133,37,1,6,5,5,3,1,1,0,1"
"52,65,27,70,11,1,5,1,0,0,1,0,0,0"
"34,50,133,129,6,2,20,10,4,9,1,0,1,0"
"124,66,138,34,28,1,15,16,1,7,0,0,0,1"
"5,97,7,95,49,0,9,4,18,17,1,0,0,0"
"131,78,43,85,28,2,10,1,17,6,1,1,0,0"
"134,26,78,120,37,1,1,1,19,7,0,1,1,1"
"145,45,6,147,28,0,16,10,18,2,1,0,1,1"
"1,109,137,148,11,2,19,1,15,13,1,1,1,1"
"91,69,135,105,30,2,1,19,7,5,1,0,0,0"
"15,38,15,115,14,2,11,8,6,5,1,1,1,0"
"146,72,131,83,34,1,6,7,0,1,1,1,1,1"
"125,62,84,16,2,2,2,8,1,3,0,0,0,0"
"93,141,78,78,2,0,4,3,20,1,1,1,0,1"
"﻿147,109,21,102,38,0,2,7,19,4,1,1,0,1"
"33,44,139,95,16,2,18,16,0,20,1,1,1,1"
"67,16,132,49,30,1,20,5,3,11,0,0,1,1"
"96,102,110,87,24,1,3,2,0,15,1,1,1,1"
"112,119,74,77,24,2,5,18,16,13,0,1,0,0"
"54,57,6,127,14,1,20,0,20,14,0,1,1,1"
"110,47,120,24,0,0,12,5,4,14,0,1,1,0"
"30,26,126,108,0,2,1,2,0,16,0,0,1,0"
"48,62,101,13,4,0,6,6,1,19,1,1,1,0"
"48,40,32,113,6,1,6,9,1,3,0,0,0,0"
"134,56,30,77,3,1,2,11,8,3,1,0,1,1"
"57,144,27,86,40,2,7,13,0,13,1,0,1,1"
"48,27,102,49,19,2,0,19,3,6,1,1,0,0"
"124,111,149,144,1,0,4,9,7,14,0,0,1,0"
"40,91,17,107,11,2,3,3,4,7,0,0,1,0"
"9,26,24,46,17,1,11,11,19,4,1,0,1,1"
"109,129,52,58,28,0,6,14,4,17,1,0,0,1"
"115,30,91,12,7,0,9,10,20,2,0,0,0,1"
"142,43,83,103,10,2,11,7,13,6,1,1,0,1"
"4,31,27,42,33,1,9,6,15,13,0,1,0,0"
"37,86,125,59,28,0,7,6,2,0,0,0,0,1"
"56,88,100,137,19,0,9,10,17,1,0,0,1,1"
"62,48,142,136,29,1,4,16,10,10,1,1,1,1"
"58,3,69,11,30,1,16,14,19,19,0,0,1,0"
"4,72,4,47,27,0,2,17,5,6,0,0,1,1"
"141,105,97,55,48,0,7,12,14,7,0,0,1,1"
"54,70,127,79,24,1,20,5,1,13,0,1,1,1"
"147,126,93,100,50,1,10,6,10,11,1,0,1,0"
"133,10,102,124,15,2,6,3,8,4,1,0,0,1"
"10,81,51,5,36,0,2,15,9,19,0,1,0,1"
"55,107,125,47,47,0,0,8,8,8,1,0,1,1"
"146,4,66,137,26,0,0,0,1,3,1,0,0,0"
"81,123,89,2,13,2,17,15,17,3,0,1,1,1"
"29,50,50,54,50,0,2,16,2,10,1,1,0,0"
"145,48,59,58,0,0,20,3,17,7,1,0,1,1"
"113,5,20,147,27,1,16,11,13,19,0,1,1,1"
"149,80,125,81,43,0,4,14,5,4,1,1,1,1"
"149,1,82,145,40,2,19,6,7,13,0,1,0,0"
"77,106,71,129,5,1,17,8,16,8,1,0,0,1"
"12,4,98,82,46,1,2,5,16,10,0,0,0,1"
"115,57,103,14,46,1,9,20,12,2,1,1,1,1"
"121,137,132,5,9,1,11,20,5,7,0,1,1,0"
"94,68,87,51,35,2,9,8,2,12,0,0,0,1"
"7,115,15,14,9,0,13,5,7,0,1,0,0,1"
"27,70,118,91,31,1,5,10,15,20,0,0,1,1"
"129,58,132,89,7,0,9,13,7,7,0,1,1,0"
"134,106,66,140,47,1,4,16,12,8,1,1,1,0"
"141,18,65,136,34,0,9,12,12,1,1,0,1,0"
"119,113,61,67,32,1,19,3,12,2,1,0,0,0"
"74,35,95,79,15,0,4,9,4,14,0,0,0,1"
"﻿76,144,31,75,37,2,3,20,6,7,1,0,1,1"
"148,75,96,105,20,2,18,15,12,15,1,1,0,1"
"130,81,32,81,44,2,8,16,12,20,0,0,1,1"
"52,49,25,87,48,1,17,3,0,17,0,0,0,0"
"7,22,39,34,19,1,5,16,1,12,0,0,1,1"
"72,111,134,6,37,2,18,17,20,10,1,0,0,1"
"21,148,145,130,3,0,3,15,4,20,1,0,0,1"
"107,41,135,57,30,2,10,2,5,7,1,1,0,0"
"81,61,106,89,12,0,9,16,14,13,0,0,0,1"
"18,143,12,74,12,1,6,10,20,20,0,0,1,1"
"72,113,105,58,25,1,3,19,7,19,1,1,1,0"
"43,7,12,4,1,2,17,7,8,18,0,1,0,0"
"64,29,127,4,38,1,6,3,2,14,0,0,1,1"
"19,47,97,35,42,0,9,10,19,6,1,0,0,0"
"126,17,92,71,43,1,9,12,20,12,1,0,1,1"
"48,25,120,89,24,2,6,12,15,8,1,1,0,1"
"121,26,79,149,34,2,11,18,17,12,0,0,1,0"
"97,100,4,62,10,2,16,13,19,20,1,1,0,1"
"25,29,21,71,33,2,14,8,19,16,0,1,1,1"
"6,60,94,64,26,1,0,9,0,1,1,0,1,0"
"109,147,84,74,47,1,4,1,16,7,1,1,1,1"
"88,70,104,35,3,1,7,9,16,0,0,0,0,1"
"124,107,107,62,28,1,1,1,15,12,1,1,1,1"
"34,40,92,119,27,0,10,16,13,19,0,1,1,1"
"111,40,21,30,50,1,2,5,14,4,0,1,1,1"
"85,132,60,27,18,1,3,0,2,14,0,1,0,1"
"100,122,16,47,32,0,14,13,5,11,0,1,0,1"
"34,104,39,98,50,1,15,5,7,13,1,0,0,1"
"111,76,129,41,22,2,6,20,17,18,0,0,1,1"
"30,77,37,1,36,0,18,1,14,1,1,1,1,1"
"15,71,119,48,23,2,18,9,18,17,1,0,0,1"
"88,119,103,134,3,2,3,2,5,4,1,1,1,1"
"13,44,134,36,37,1,9,4,12,13,1,1,0,0"
"37,35,129,114,37,2,10,8,1,3,1,0,0,1"
"5,48,105,53,41,2,13,7,3,3,1,1,0,1"
"5,3,142,96,25,2,6,9,12,4,1,1,0,0"
"68,80,142,60,2,1,5,8,20,5,0,1,0,0"
"43,135,61,132,36,0,11,9,0,11,0,0,1,0"
"28,84,129,62,32,2,1,3,18,17,0,0,0,1"
"11,144,114,82,44,1,14,20,15,15,1,0,1,0"
"5,145,80,136,25,2,19,6,16,9,0,0,0,1"
"29,17,45,43,30,1,10,9,13,14,1,0,1,0"
"13,52,96,117,22,1,4,3,16,7,1,1,1,0"
"94,111,57,73,11,0,12,7,4,5,0,1,1,0"
"53,35,95,12,11,1,2,1,1,0,1,0,1,1"
"93,76,87,150,42,1,12,8,14,11,0,1,1,1"
"43,81,21,3,48,2,2,10,4,1,0,1,0,1"
"99,9,13,41,27,0,17,0,16,0,0,1,1,1"
"17,33,138,119,40,1,19,19,6,1,1,1,0,1"
"86,87,63,135,36,1,10,9,8,4,1,1,1,0"
"﻿65,134,23,31,5,1,15,8,10,5,0,1,0,1"
"12,122,95,69,48,1,15,4,10,7,0,0,1,0"
"113,11,69,66,13,2,14,5,0,6,0,1,1,0"
"54,119,121,39,7,1,12,16,5,16,0,0,0,1"
"130,123,146,133,50,2,1,10,1,19,0,0,0,0"
"123,16,127,46,43,0,8,3,3,9,0,0,0,1"
"12,30,118,117,33,0,4,19,20,18,1,0,0,0"
"100,71,62,106,15,1,12,7,18,15,1,1,0,0"
"120,139,125,97,22,0,17,0,13,6,1,0,1,0"
"118,77,27,69,37,0,6,12,12,12,1,1,0,1"
"76,69,50,84,45,1,15,6,13,0,1,1,0,0"
"21,64,11,24,22,2,15,6,5,2,0,1,0,0"
"58,2,61,48,1,1,13,17,16,7,0,0,0,0"
"132,137,109,22,26,2,4,10,17,17,0,1,0,0"
"54,42,9,1,48,0,19,17,6,12,1,1,1,0"
"108,30,108,56,44,0,11,19,1,0,0,0,1,0"
"65,63,17,95,13,1,14,14,19,19,1,1,1,0"
"43,1,141,116,14,1,5,8,4,5,1,1,1,1"
"3,79,33,114,50,1,13,6,5,18,0,1,1,1"
"91,100,94,77,39,2,2,13,1,8,1,1,1,0"
"82,138,61,62,48,0,0,13,11,6,0,0,0,0"
"14,22,48,85,15,2,6,16,20,4,0,0,0,1"
"118,97,82,124,0,2,12,14,17,19,0,1,1,0"
"43,96,80,122,29,0,8,5,7,3,0,1,1,1"
"42,18,67,120,15,2,6,3,4,10,0,1,1,0"
"103,145,74,117,20,2,13,0,1,9,1,1,1,0"
"39,68,150,107,28,2,13,16,7,8,1,1,1,0"
"100,29,121,39,29,1,19,18,16,6,0,0,1,0"
"51,18,68,3,34,0,11,19,6,19,1,1,1,1"
"103,59,146,87,21,0,17,9,3,10,0,0,0,0"
"63,68,76,40,23,0,17,5,3,1,0,0,1,1"
"40,8,0,136,43,0,19,16,1,0,1,0,1,1"
"87,63,120,32,23,1,1,5,14,10,0,0,0,0"
"67,1,22,135,4,1,15,0,11,5,0,1,1,1"
"123,108,81,16,50,0,20,14,13,2,1,0,0,1"
"49,14,25,4,41,2,16,14,12,2,0,1,0,0"
"26,76,107,119,13,2,6,4,2,19,0,0,1,0"
"93,86,30,137,8,0,17,14,8,0,0,0,1,1"
"34,59,109,133,1,1,15,13,19,12,0,1,0,0"
"128,85,94,25,26,2,9,1,6,16,1,0,0,0"
"106,128,129,61,42,2,19,2,20,14,0,1,1,0"
"128,118,56,58,34,2,10,12,3,18,0,1,0,0"
"24,22,16,129,15,0,1,9,11,13,0,0,0,0"
"91,38,12,20,26,2,2,0,1,8,0,1,1,0"
"45,3,13,102,26,0,11,6,9,16,1,0,0,0"
"110,58,134,114,15,1,20,10,3,12,0,1,0,0"
"123,76,55,122,19,1,2,13,15,10,0,1,0,1"
"8,148,68,13,43,1,2,5,16,11,0,1,0,1"
"31,9,131,38,31,2,3,9,1,18,0,1,0,1"
"80,137,70,71,28,1,19,14,14,18,1,1,0,0"
"﻿20,105,51,14,20,2,6,2,4,18,0,0,0,1"
"116,22,71,107,15,1,10,18,12,7,1,0,1,0"
"80,62,102,50,32,2,14,8,12,16,1,1,0,1"
"101,149,144,44,15,2,3,17,17,11,1,1,0,1"
"140,44,46,122,37,1,11,12,19,18,1,0,0,1"
"55,127,141,40,40,1,14,11,11,18,0,0,1,0"
"77,128,26,20,46,1,10,2,18,15,1,0,0,1"
"52,66,22,95,13,1,15,8,9,15,1,1,1,1"
"87,148,20,99,50,2,3,4,1,12,1,1,0,1"
"90,121,12,15,24,2,9,11,5,14,0,0,1,0"
"25,46,138,100,8,2,8,19,16,1,0,0,0,0"
"21,143,22,109,40,1,1,19,15,2,0,0,0,0"
"113,121,35,21,34,0,20,10,5,19,0,1,0,0"
"46,145,123,42,1,0,19,3,9,3,0,1,1,0"
"17,10,67,139,19,1,4,19,17,19,0,1,1,1"
"70,80,51,30,40,0,12,14,9,9,0,0,0,0"
"37,66,82,87,21,1,0,13,9,5,1,0,0,1"
"125,11,108,48,20,0,15,18,13,18,0,0,1,0"
"75,128,102,46,43,2,0,2,10,11,0,0,0,1"
"65,12,134,1,5,1,1,12,7,17,1,1,1,1"
"40,67,1,103,1,1,16,20,17,0,1,0,0,1"
"129,64,75,66,14,2,16,16,6,20,1,1,1,1"
"103,55,70,11,26,0,14,0,17,12,1,0,0,0"
"80,30,68,65,33,0,7,12,15,4,1,0,1,0"
"42,85,90,13,32,0,19,3,8,0,1,0,0,0"
"84,82,19,32,10,0,20,9,15,5,0,0,0,1"
"27,79,129,64,25,0,10,10,16,6,0,0,1,1"
"57,100,94,34,8,1,3,18,11,4,0,0,1,1"
"88,80,33,23,28,0,20,0,19,14,0,1,1,1"
"11,17,141,112,2,0,13,15,14,17,1,1,0,0"
"119,147,18,34,6,2,8,11,8,15,1,1,1,1"
"1,74,110,49,34,1,13,15,10,2,1,1,1,0"
"63,102,121,137,17,2,2,16,5,19,1,0,0,0"
"50,94,26,123,20,1,6,17,15,3,0,0,0,0"
"33,72,71,64,50,1,18,4,14,9,1,1,1,0"
"30,85,36,89,48,2,10,1,16,6,1,1,0,0"
"6,33,125,5,31,0,18,3,1,20,0,0,1,0"
"109,38,30,143,46,1,12,3,0,4,0,1,1,1"
"148,130,102,119,2,1,19,16,3,17,0,1,1,0"
"100,48,8,79,37,2,18,6,14,9,1,0,1,1"
"98,142,114,139,2,2,4,11,17,5,0,0,1,0"
"6,54,23,104,14,0,17,1,19,6,1,0,1,1"
"26,139,95,120,34,1,3,10,9,19,1,1,0,0"
"89,47,95,146,38,0,19,20,18,20,1,1,0,1"
"138,39,19,115,11,0,12,11,7,7,0,0,1,1"
"91,112,122,131,20,2,20,19,8,5,0,1,1,1"
"51,110,119,136,26,0,19,2,14,2,1,1,0,1"
"74,112,4,146,11,1,13,18,4,2,1,0,0,0"
"16,35,118,87,23,1,8,16,6,11,1,0,1,1"
"142,32,131,85,31,1,8,19,8,1,1,0,0,0"
"﻿41,110,123,22,2,1,10,14,9,19,0,0,0,1"
"104,133,75,140,35,2,2,13,8,7,1,0,1,0"
"63,7,13,76,38,2,1,2,10,4,0,0,0,1"
"129,93,17,32,23,1,18,2,7,2,1,0,0,0"
"82,38,7,115,24,2,13,7,13,5,0,1,0,1"
"7,146,33,13,19,2,17,8,15,5,0,0,0,0"
"68,126,108,105,30,1,0,11,19,7,0,1,1,1"
"32,137,13,67,31,0,10,0,0,12,0,0,1,0"
"148,132,13,34,13,1,18,7,3,15,1,0,1,1"
"60,137,139,4,15,0,17,15,14,3,0,1,1,1"
"51,16,75,6,4,1,4,19,2,12,0,0,0,1"
"96,67,6,144,4,0,3,17,19,9,1,1,1,1"
"61,47,96,6,45,0,15,3,18,12,0,1,0,0"
"29,134,19,91,6,0,11,9,16,1,1,0,0,0"
"52,72,33,37,40,0,3,16,14,18,0,0,1,1"
"5,52,11,84,20,0,14,9,11,6,1,1,1,1"
"80,63,122,32,14,1,16,1,18,16,1,0,1,1"
"77,91,12,43,4,0,17,3,9,5,0,1,0,0"
"139,16,39,23,37,2,9,5,3,16,0,1,0,1"
"18,26,52,76,43,1,19,3,7,19,1,1,1,1"
"85,138,92,19,19,0,0,16,20,19,0,0,1,0"
"79,148,61,16,29,2,9,2,3,13,1,0,1,0"
"68,125,147,116,5,1,5,14,2,0,0,0,0,0"
"51,125,132,59,5,1,18,3,9,20,1,0,0,0"
"6,119,9,38,21,2,13,9,17,14,1,0,0,1"
"3,115,61,47,22,2,8,18,0,0,1,1,1,0"
"74,131,140,148,11,1,12,11,1,13,0,1,1,1"
"102,92,54,115,19,2,19,17,17,16,0,0,0,1"
"132,39,19,127,6,1,7,2,11,18,1,0,1,0"
"24,33,78,40,48,1,3,17,4,8,0,1,0,1"
"99,144,97,125,12,0,19,2,10,2,0,0,0,1"
"18,0,123,142,38,0,11,12,17,8,1,1,1,1"
"44,6,37,98,6,0,9,14,16,16,1,1,0,0"
"107,2,114,129,1,0,12,3,7,19,0,0,1,0"
"71,43,62,114,16,1,6,15,0,5,0,1,0,0"
"53,133,77,104,50,1,2,9,3,4,1,0,1,0"
"132,47,115,105,17,2,10,16,8,2,0,0,0,0"
"13,72,139,34,25,1,20,2,0,14,0,1,0,1"
"126,112,94,45,19,1,2,1,19,18,0,0,0,0"
"20,26,20,146,49,2,13,15,19,16,1,1,0,1"
"72,131,4,80,39,1,20,8,9,5,0,0,1,1"
"144,7,55,123,35,0,14,6,7,6,1,0,1,0"
"13,28,65,96,37,0,3,4,4,2,1,1,0,0"
"52,130,54,145,16,2,13,17,9,8,1,0,0,1"
"88,33,118,99,11,0,7,5,13,1,0,1,0,1"
"51,54,135,11,5,1,3,6,11,7,0,0,0,0"
"133,97,33,78,11,1,18,10,5,19,1,0,1,1"
"118,80,100,121,25,0,8,15,11,13,1,0,1,1"
"138,52,129,82,21,1,18,14,8,5,1,1,0,0"
"122,23,28,20,49,2,18,8,18,8,0,1,0,1"
"﻿44,47,44,87,44,2,11,14,8,12,1,1,0,1"
"87,11,119,61,9,1,18,2,9,10,0,0,0,1"
"113,131,140,96,8,1,12,7,19,20,1,0,1,1"
"71,75,64,71,15,1,7,18,15,9,0,0,0,0"
"117,60,103,110,37,0,3,0,11,6,1,0,0,1"
"80,43,16,139,38,2,16,3,15,1,0,0,0,1"
"5,150,87,84,19,2,17,16,5,16,1,1,0,1"
"118,129,122,77,11,0,3,6,14,8,1,0,1,1"
"113,62,88,94,25,2,7,9,10,15,1,0,1,0"
"79,131,130,150,38,2,1,12,14,18,0,0,0,0"
"46,67,65,139,43,2,0,0,11,10,0,0,1,0"
"118,8,95,143,46,2,19,15,20,13,1,1,0,0"
"101,1,118,131,8,0,15,2,12,10,0,1,1,1"
"60,58,25,138,4,1,11,12,9,3,1,0,0,0"
"41,14,10,86,25,0,3,20,19,12,1,1,0,1"
"90,109,23,45,30,2,5,9,19,16,1,1,0,0"
"70,18,89,42,34,0,6,14,8,13,1,1,1,1"
"60,40,129,29,16,0,2,17,9,13,1,0,1,0"
"65,109,145,120,44,2,14,3,3,8,0,0,1,1"
"100,39,86,64,7,0,19,8,2,12,0,0,1,0"
"112,97,142,14,43,0,5,13,9,14,1,1,1,0"
"85,137,113,51,37,1,15,15,13,7,1,0,1,0"
"106,61,118,138,36,2,0,9,0,12,0,1,1,1"
"129,137,53,44,48,1,8,4,0,4,1,0,1,1"
"84,112,4,76,3,1,0,7,10,0,1,1,1,1"
"52,107,89,45,31,2,0,7,19,2,0,0,0,0"
"2,34,14,13,17,2,20,8,14,1,0,0,0,1"
"21,36,72,29,39,0,19,13,8,13,0,1,1,1"
"109,109,10,134,9,0,7,6,2,17,0,0,0,0"
"115,76,111,136,11,0,20,8,0,18,0,0,0,1"
"28,71,72,127,40,2,12,2,6,5,1,1,1,0"
"50,94,115,55,24,0,6,7,13,6,0,1,0,1"
"29,73,2,103,40,1,3,6,0,19,0,1,0,0"
"62,139,78,46,21,0,10,0,20,16,0,0,0,0"
"14,84,88,19,17,0,3,14,0,18,0,1,0,1"
"123,57,18,130,38,1,4,10,15,19,0,1,0,0"
"73,80,132,49,26,1,0,1,13,3,0,1,0,0"
"0,146,58,79,27,2,14,9,4,5,0,0,0,0"
"117,127,23,54,8,0,7,8,0,10,0,1,0,0"
"32,82,112,87,22,0,18,15,16,17,1,0,1,1"
"41,71,34,85,19,0,10,14,5,4,0,0,0,0"
"105,76,30,119,47,2,6,3,9,20,0,1,1,0"
"94,139,19,89,13,0,17,0,19,5,1,0,1,0"
"12,20,0,28,22,2,14,12,14,0,1,0,0,1"
"56,145,47,114,22,0,5,12,19,20,1,1,1,1"
"85,135,132,7,27,2,14,12,12,15,1,1,1,1"
"127,106,122,8,15,2,8,3,18,13,0,0,1,1"
"36,73,149,58,37,1,16,4,10,0,1,1,1,0"
"135,122,43,5,6,2,7,1,8,3,0,1,0,1"
"70,47,33,116,15,2,4,10,10,17,0,1,1,1"
"﻿106,63,90,121,31,1,16,0,15,12,0,0,0,0"
"97,137,125,14,27,0,3,11,5,11,0,1,0,1"
"44,30,21,129,50,1,2,3,11,16,0,0,1,0"
"137,65,141,38,44,1,4,1,14,20,0,0,0,0"
"19,114,64,105,35,2,16,14,10,3,1,1,0,0"
"104,16,146,86,18,1,15,1,0,5,1,0,1,0"
"28,27,23,136,47,1,5,13,10,5,1,0,0,1"
